"","tot","0","0.1","0.2","0.3","0.4","0.5","0.6","0.7","0.8","0.9","1"
"Lepidoptera",674,113,109,98,88,64,48,39,30,19,17,15
"Phamatodea",421,94,85,66,52,37,21,17,11,9,6,6
"Hemiptera",176,59,40,15,13,9,2,1,1,1,1,1
"Coleoptera",94,51,22,11,7,4,1,1,0,0,0,0
"Aranea",58,42,16,5,4,3,2,2,2,2,2,2
"Symphyta",48,26,12,5,4,2,1,1,1,1,1,1
"Formicidae",27,23,9,3,2,2,1,1,1,1,1,1
"Orthoptera",15,10,4,1,1,1,1,1,1,1,1,1
"Raphidioptera",10,8,2,1,0,0,0,0,0,0,0,0
"Other",6,4,2,0,0,0,0,0,0,0,0,0
"Neuroptera",1,1,0,0,0,0,0,0,0,0,0,0
